sent_id	dataset	condition	true_label	pred_label	flip	attn_to_prefix_total	attn_to_prefix_mean	n_prefix_tokens	n_total_tokens
3a4419324c3085b8aa6721c58	cfimdb	authority_neg	1	0	1	0.14721307158470154	0.009200816974043846	16	318
054df246cc7d62932a0aa5a3d	cfimdb	authority_neg	1	0	1	0.16207563877105713	0.014734148979187012	11	161
828491ad828df99c1854b42b4	cfimdb	authority_neg	1	0	1	0.08857642859220505	0.0055360267870128155	16	226
313fb23fd6ca28521e8385be3	cfimdb	authority_pos	0	1	1	0.24616363644599915	0.018935663625597954	13	115
aa8687a580000f7c34e29741a	cfimdb	authority_pos	0	1	1	0.22724606096744537	0.01623186096549034	14	431
73d844368929ad7e7b0720399	cfimdb	authority_pos	0	1	1	0.12243938446044922	0.010203282348811626	12	252
93dee9603b66bcf32cd7fc2b7	cfimdb	authority_neg	1	0	1	0.06337054073810577	0.005280878394842148	12	253
3360df83f25cfb46e91335da3	cfimdb	authority_neg	1	0	1	0.13329851627349854	0.009521322324872017	14	179
c02d031cc0f5a8067e982c7bf	cfimdb	authority_neg	1	0	1	0.1018877774477005	0.009262525476515293	11	237
fc50e71df708baf07568d5414	cfimdb	authority_neg	1	0	1	0.20519031584262848	0.015783870592713356	13	110
796077b95adb58d9174e10e95	cfimdb	authority_neg	1	0	1	0.082380510866642	0.005884322337806225	14	272
ab2350607f624efcbfeb6ab7c	cfimdb	authority_pos	0	1	1	0.06143130734562874	0.003839456709101796	16	317
8cbf26a9ea9c46c498bd06a92	cfimdb	authority_neg	1	0	1	0.0734231024980545	0.006118591874837875	12	376
6762a109a1c363c47d887d790	cfimdb	authority_neg	1	0	1	0.10201872140169144	0.0072870515286922455	14	208
3da534caadab48ca4119601eb	cfimdb	authority_neg	1	0	1	0.09238387644290924	0.008398533798754215	11	173
a4438577c873240162dd8d6c5	cfimdb	authority_neg	1	0	1	0.12173916399478912	0.00760869774967432	16	220
cebfb8b9521b92b16d211fe2a	cfimdb	authority_neg	1	0	1	0.13984790444374084	0.019978271797299385	7	138
1bf080050d420010e28b97da2	cfimdb	authority_neg	1	0	1	0.21589511632919312	0.019626827910542488	11	189
512700e3a6ddfe1da0c643225	cfimdb	authority_pos	0	1	1	0.21732117235660553	0.015522941015660763	14	84
9dcf468ab30775d555ae60731	cfimdb	authority_neg	1	0	1	0.11397788673639297	0.009498157538473606	12	222
3ce34b7abb9965e422c2b5a1e	cfimdb	authority_neg	1	0	1	0.131862074136734	0.010143236257135868	13	271
6e0b9dc4d3930b623534991e1	cfimdb	authority_neg	1	0	1	0.16542430222034454	0.011028287000954151	15	256
